source,target,dist,street_name
1364722077,1364722081,25.64,Weygenstraat
1364722079,1364722105,36.59,Weygenstraat
1364722079,1364722073,93.55,Weygenstraat
1364722080,181310748,13.71,Weygenstraat
1364722080,181310764,36.47,Weygenstraat
1364722081,1364722077,25.64,Weygenstraat
1364722081,3620070526,11.35,Weygenstraat
13149533896,1494643635,0.56,Unnamed road
13149533896,26817061,6.49,Unnamed road
13149533896,13149533897,11.33,Unnamed road
1629749666,8791835524,38.38,Coigesteenweg
1629749666,274321705,24.88,Coigesteenweg
1629749666,1629749681,39.98,Unnamed road
12213813674,12367136517,16.89,Unnamed road
12213813675,12213813676,5.86,Unnamed road
12213813675,12367136517,16.45,Unnamed road
12213813676,12213813677,8.67,Unnamed road
12213813676,12213813675,5.86,Unnamed road
12213813677,12213813678,8.38,Unnamed road
12213813677,12213813676,8.67,Unnamed road
12213813678,12213813679,3.25,Unnamed road
12213813678,12213813677,8.38,Unnamed road
12213813679,12213813680,11.78,Unnamed road
12213813679,12213813678,3.25,Unnamed road
12213813680,1151351909,87.14,Weertse Dreef
12213813680,12208912613,45.01,Weertse Dreef
12213813680,12213813679,11.78,Unnamed road
1364722094,8210206728,5.37,Bertemse Heideweg
1364722094,8210206754,18.31,Bertemse Heideweg
1364722095,945649336,45.85,Unnamed road
1364722095,3319772134,12.67,Unnamed road
1364722095,5800228281,11.32,Unnamed road
1364722093,181310759,27.6,Weygenstraat
1364722093,181310758,25.0,Weygenstraat
1364722098,1364722102,44.08,Unnamed road
1364722098,701845663,48.88,Unnamed road
1364722092,181310762,54.27,Weygenstraat
1364722092,181310761,22.92,Weygenstraat
1364722102,7709701201,24.17,Unnamed road
1364722102,1364722098,44.08,Unnamed road
1364722097,1364722104,35.73,Armenlosweg
1364722097,3620070503,31.68,Armenlosweg
1364722104,11160562120,103.07,Armenlosweg
1364722104,1364722097,35.73,Armenlosweg
1364722104,11435231248,15.11,Unnamed road
1364722104,11160562115,79.28,Unnamed road
1364722105,2645605809,23.93,Weygenstraat
1364722105,1364722079,36.59,Weygenstraat
4149739956,4149739957,18.96,Unnamed road
